name,formatted_address,geometry,permanently_closed,lat,lng
The Cadillac Fairview Corporation Limited,"Pacific Centre, 609 Granville St #910, Vancouver, BC V7Y 1G5, Canada","{'location': {'lat': 49.2827242, 'lng': -123.1181481}, 'viewport': {'northeast': {'lat': 49.28418212989273, 'lng': -123.1165120701073}, 'southwest': {'lat': 49.28148247010728, 'lng': -123.1192117298927}}}",,49.2827242,-123.1181481
Charest Reporting Inc,"885 W Georgia St 4th floor, Vancouver, BC V6C 0B5, Canada","{'location': {'lat': 49.2838044, 'lng': -123.1195512}, 'viewport': {'northeast': {'lat': 49.28519147989272, 'lng': -123.1183931701073}, 'southwest': {'lat': 49.28249182010728, 'lng': -123.1210928298927}}}",,49.2838044,-123.1195512
Bentall Corporation,"1055 Dunsmuir St Suite 1800, Vancouver, BC V7X 1B1, Canada","{'location': {'lat': 49.2864912, 'lng': -123.1213098}, 'viewport': {'northeast': {'lat': 49.28767692989272, 'lng': -123.1200497201073}, 'southwest': {'lat': 49.28497727010728, 'lng': -123.1227493798927}}}",,49.2864912,-123.1213098
Mecca Estacio of Sun Life Financial,"150 E 55th Ave, Vancouver, BC V5X 1M8, Canada","{'location': {'lat': 49.2200224, 'lng': -123.1030374}, 'viewport': {'northeast': {'lat': 49.22144812989272, 'lng': -123.1016835701073}, 'southwest': {'lat': 49.21874847010728, 'lng': -123.1043832298927}}}",,49.2200224,-123.1030374
Hossack Newby Graham & Smith,"1755 W Broadway, Vancouver, BC V6J 4S5, Canada","{'location': {'lat': 49.2638642, 'lng': -123.1446583}, 'viewport': {'northeast': {'lat': 49.26513132989272, 'lng': -123.1432652201073}, 'southwest': {'lat': 49.26243167010728, 'lng': -123.1459648798927}}}",,49.2638642,-123.1446583
Westport,"1691 W 75th Ave, Vancouver, BC V6P 6P2, Canada","{'location': {'lat': 49.2064635, 'lng': -123.1462769}, 'viewport': {'northeast': {'lat': 49.20773622989272, 'lng': -123.1450136701072}, 'southwest': {'lat': 49.20503657010727, 'lng': -123.1477133298927}}}",,49.2064635,-123.1462769
RBC Dominion Securities,"745 Thurlow St 20th Floor, Vancouver, BC V6E 1V8, Canada","{'location': {'lat': 49.2854259, 'lng': -123.1245203}, 'viewport': {'northeast': {'lat': 49.28665942989272, 'lng': -123.1229002201073}, 'southwest': {'lat': 49.28395977010727, 'lng': -123.1255998798927}}}",,49.2854259,-123.1245203
Lulu Island Winery,"16880 Westminster Hwy, Richmond, BC V6V 1A8, Canada","{'location': {'lat': 49.1692385, 'lng': -123.0365032}, 'viewport': {'northeast': {'lat': 49.17091177989272, 'lng': -123.0351515701072}, 'southwest': {'lat': 49.16821212010728, 'lng': -123.0378512298927}}}",,49.1692385,-123.0365032
City Side Winery,"328 W 2nd Ave, Vancouver, BC V5Y 1C8, Canada","{'location': {'lat': 49.268105, 'lng': -123.1111301}, 'viewport': {'northeast': {'lat': 49.26952472989272, 'lng': -123.1099672701073}, 'southwest': {'lat': 49.26682507010727, 'lng': -123.1126669298927}}}",True,49.268105,-123.1111301
Vancouver City Savings Credit Union,"5594 Cambie St, Vancouver, BC V5Z 3A2, Canada","{'location': {'lat': 49.23465849999999, 'lng': -123.1157617}, 'viewport': {'northeast': {'lat': 49.23601117989272, 'lng': -123.1145362201073}, 'southwest': {'lat': 49.23331152010728, 'lng': -123.1172358798927}}}",,49.23465849999999,-123.1157617
Upg Property Group Inc,"900 W Hastings St, Vancouver, BC V6C 1E5, Canada","{'location': {'lat': 49.2865591, 'lng': -123.1164144}, 'viewport': {'northeast': {'lat': 49.28782737989272, 'lng': -123.1149172201073}, 'southwest': {'lat': 49.28512772010728, 'lng': -123.1176168798928}}}",,49.2865591,-123.1164144
NEW Asia Capital Consultants,"1055 Dunsmuir St, Vancouver, BC V7X 1L3, Canada","{'location': {'lat': 49.2864912, 'lng': -123.1213098}, 'viewport': {'northeast': {'lat': 49.28767692989272, 'lng': -123.1200497201073}, 'southwest': {'lat': 49.28497727010728, 'lng': -123.1227493798927}}}",,49.2864912,-123.1213098
Vietnam Canada Education & Employment Agency,"6460 Fraser St, Vancouver, BC V5W 3A6, Canada","{'location': {'lat': 49.2260413, 'lng': -123.0905341}, 'viewport': {'northeast': {'lat': 49.22744707989273, 'lng': -123.0892891201073}, 'southwest': {'lat': 49.22474742010728, 'lng': -123.0919887798927}}}",,49.2260413,-123.0905341
Park Georgia Insurance Agencies Ltd,"5701 Granville St #201, Vancouver, BC V6M 4J7, Canada","{'location': {'lat': 49.2341824, 'lng': -123.1400908}, 'viewport': {'northeast': {'lat': 49.23561197989272, 'lng': -123.1387574201073}, 'southwest': {'lat': 49.23291232010728, 'lng': -123.1414570798927}}}",,49.2341824,-123.1400908
Wall Financial Corporation,"1088 Burrard St, Vancouver, BC V6Z 2R9, Canada","{'location': {'lat': 49.2803029, 'lng': -123.1270378}, 'viewport': {'northeast': {'lat': 49.28170822989272, 'lng': -123.1257782201073}, 'southwest': {'lat': 49.27900857010728, 'lng': -123.1284778798927}}}",,49.2803029,-123.1270378
New World Insurance Services,"8168 Granville St, Vancouver, BC V6P 4Z4, Canada","{'location': {'lat': 49.2112239, 'lng': -123.1408732}, 'viewport': {'northeast': {'lat': 49.21251627989272, 'lng': -123.1393064201073}, 'southwest': {'lat': 49.20981662010728, 'lng': -123.1420060798927}}}",,49.2112239,-123.1408732
Metropolitan Insurance Services,"1629 Commercial Dr, Vancouver, BC V5L 3Y4, Canada","{'location': {'lat': 49.2701297, 'lng': -123.0698297}, 'viewport': {'northeast': {'lat': 49.27124437989272, 'lng': -123.0687566201073}, 'southwest': {'lat': 49.26854472010727, 'lng': -123.0714562798927}}}",,49.2701297,-123.0698297
Drawing Room Graphic Services Ltd The,"1037 W Broadway, Vancouver, BC V6H 1E3, Canada","{'location': {'lat': 49.2635934, 'lng': -123.1275398}, 'viewport': {'northeast': {'lat': 49.26488927989271, 'lng': -123.1261923701073}, 'southwest': {'lat': 49.26218962010727, 'lng': -123.1288920298927}}}",,49.2635934,-123.1275398
Hatch Ltd.,"1066 W Hastings St #400, Vancouver, BC V6E 3X2, Canada","{'location': {'lat': 49.2875569, 'lng': -123.1189456}, 'viewport': {'northeast': {'lat': 49.28895682989272, 'lng': -123.1175426201073}, 'southwest': {'lat': 49.28625717010728, 'lng': -123.1202422798927}}}",,49.2875569,-123.1189456
Sand Story Psychology Services,"2902 W Broadway #212, Vancouver, BC V6K 2G8, Canada","{'location': {'lat': 49.2638835, 'lng': -123.1703179}, 'viewport': {'northeast': {'lat': 49.26535502989272, 'lng': -123.1689635201073}, 'southwest': {'lat': 49.26265537010728, 'lng': -123.1716631798927}}}",,49.2638835,-123.1703179
Derek Mah Law,"650 W Georgia St, Vancouver, BC V6B 4N7, Canada","{'location': {'lat': 49.28190069999999, 'lng': -123.1180043}, 'viewport': {'northeast': {'lat': 49.28306077989271, 'lng': -123.1165408201073}, 'southwest': {'lat': 49.28036112010727, 'lng': -123.1192404798927}}}",,49.28190069999999,-123.1180043
Raymond James Ltd,"925 W Georgia St #2100, Vancouver, BC V6C 3L2, Canada","{'location': {'lat': 49.2841444, 'lng': -123.1199049}, 'viewport': {'northeast': {'lat': 49.28537122989272, 'lng': -123.1185881701073}, 'southwest': {'lat': 49.28267157010728, 'lng': -123.1212878298928}}}",,49.2841444,-123.1199049
Zurich Canada,"888 Dunsmuir St, Vancouver, BC V6C 3K4, Canada","{'location': {'lat': 49.284676, 'lng': -123.1182269}, 'viewport': {'northeast': {'lat': 49.28605677989272, 'lng': -123.1168305201073}, 'southwest': {'lat': 49.28335712010728, 'lng': -123.1195301798927}}}",,49.284676,-123.1182269
Ameresco Canada,"2608 Granville St, Vancouver, BC V6H 3V3, Canada","{'location': {'lat': 49.2623439, 'lng': -123.1383906}, 'viewport': {'northeast': {'lat': 49.26383562989272, 'lng': -123.1370583701073}, 'southwest': {'lat': 49.26113597010728, 'lng': -123.1397580298927}}}",,49.2623439,-123.1383906
The University of British Columbia,"Vancouver, BC V6T 1Z4, Canada","{'location': {'lat': 49.26060520000001, 'lng': -123.2459938}, 'viewport': {'northeast': {'lat': 49.28261634999999, 'lng': -123.21947235}, 'southwest': {'lat': 49.23265135, 'lng': -123.26827175}}}",,49.26060520000001,-123.2459938
Vancouver School of Economics,"6000 Iona Dr, Vancouver, BC V6T 1L4, Canada","{'location': {'lat': 49.271064, 'lng': -123.250418}, 'viewport': {'northeast': {'lat': 49.27247102989272, 'lng': -123.2491149201072}, 'southwest': {'lat': 49.26977137010727, 'lng': -123.2518145798927}}}",,49.271064,-123.250418
Delta Land Development Ltd,"669 Howe St Suite 560, Vancouver, BC V6C 0B4, Canada","{'location': {'lat': 49.2837166, 'lng': -123.1186639}, 'viewport': {'northeast': {'lat': 49.28500517989272, 'lng': -123.1172112201073}, 'southwest': {'lat': 49.28230552010728, 'lng': -123.1199108798927}}}",,49.2837166,-123.1186639
Robert Fleming Lawyers,"925 W Georgia St #810, Vancouver, BC V6C 3L2, Canada","{'location': {'lat': 49.2841444, 'lng': -123.1199049}, 'viewport': {'northeast': {'lat': 49.28537122989272, 'lng': -123.1185881701073}, 'southwest': {'lat': 49.28267157010728, 'lng': -123.1212878298928}}}",,49.2841444,-123.1199049
Concert Properties Ltd.,"1190 Hornby St, Vancouver, BC V6Z 2K5, Canada","{'location': {'lat': 49.2787033, 'lng': -123.1273659}, 'viewport': {'northeast': {'lat': 49.28012662989272, 'lng': -123.1261298701073}, 'southwest': {'lat': 49.27742697010728, 'lng': -123.1288295298927}}}",,49.2787033,-123.1273659
Vision Wealth Management Ltd.,"610 Granville St #405, Vancouver, BC V6C 3T3, Canada","{'location': {'lat': 49.283148, 'lng': -123.1165454}, 'viewport': {'northeast': {'lat': 49.28459867989272, 'lng': -123.1153567201073}, 'southwest': {'lat': 49.28189902010728, 'lng': -123.1180563798927}}}",,49.283148,-123.1165454
Teck Resources Limited,"Bentall 5, 550 Burrard St #3300, Vancouver, BC V6C 0B3, Canada","{'location': {'lat': 49.2858307, 'lng': -123.1185085}, 'viewport': {'northeast': {'lat': 49.28724677989271, 'lng': -123.1172830701073}, 'southwest': {'lat': 49.28454712010727, 'lng': -123.1199827298927}}}",,49.2858307,-123.1185085
Vovios Networks Inc.,"1525 Robson St, Vancouver, BC V6G 1C3, Canada","{'location': {'lat': 49.2891489, 'lng': -123.1314036}, 'viewport': {'northeast': {'lat': 49.29043377989272, 'lng': -123.1301626201073}, 'southwest': {'lat': 49.28773412010727, 'lng': -123.1328622798927}}}",,49.2891489,-123.1314036
Bloomberg Business News,"666 Burrard St #3400, Vancouver, BC V6C 2X8, Canada","{'location': {'lat': 49.2850076, 'lng': -123.1191695}, 'viewport': {'northeast': {'lat': 49.28632942989272, 'lng': -123.1175308701073}, 'southwest': {'lat': 49.28362977010728, 'lng': -123.1202305298928}}}",,49.2850076,-123.1191695
Kasian,"1500 W Georgia St #1685, Vancouver, BC V6G 2Z6, Canada","{'location': {'lat': 49.2901372, 'lng': -123.1306946}, 'viewport': {'northeast': {'lat': 49.29161512989273, 'lng': -123.1291586701073}, 'southwest': {'lat': 49.28891547010728, 'lng': -123.1318583298928}}}",,49.2901372,-123.1306946
Teck Resources Limited,"Bentall 5, 550 Burrard St #3300, Vancouver, BC V6C 0B3, Canada","{'location': {'lat': 49.2858307, 'lng': -123.1185085}, 'viewport': {'northeast': {'lat': 49.28724677989271, 'lng': -123.1172830701073}, 'southwest': {'lat': 49.28454712010727, 'lng': -123.1199827298927}}}",,49.2858307,-123.1185085
Kowarsky Ritson LLP,"808 Nelson St #1008, Vancouver, BC V6Z 2H2, Canada","{'location': {'lat': 49.2798452, 'lng': -123.1246517}, 'viewport': {'northeast': {'lat': 49.28131367989273, 'lng': -123.1231238701072}, 'southwest': {'lat': 49.27861402010728, 'lng': -123.1258235298927}}}",,49.2798452,-123.1246517
Vancouver Financial Planning,"800 W Pender St, Vancouver, BC V6C 2V6, Canada","{'location': {'lat': 49.28526189999999, 'lng': -123.1164446}, 'viewport': {'northeast': {'lat': 49.28671802989273, 'lng': -123.1149312201073}, 'southwest': {'lat': 49.28401837010728, 'lng': -123.1176308798927}}}",,49.28526189999999,-123.1164446
Joel A. Nitikman,"250 Howe St 20th Floor, Vancouver, BC V6C 3R8, Canada","{'location': {'lat': 49.2866724, 'lng': -123.1131683}, 'viewport': {'northeast': {'lat': 49.28788717989272, 'lng': -123.1120184701073}, 'southwest': {'lat': 49.28518752010727, 'lng': -123.1147181298927}}}",,49.2866724,-123.1131683
The Insurance Services Department of London Drugs Ltd.,"2230 W Broadway, Vancouver, BC V6K 2E3, Canada","{'location': {'lat': 49.2637333, 'lng': -123.1562718}, 'viewport': {'northeast': {'lat': 49.26515907989273, 'lng': -123.1549182701073}, 'southwest': {'lat': 49.26245942010728, 'lng': -123.1576179298927}}}",,49.2637333,-123.1562718
CTL Westrans,"1050 W Pender St #640, Vancouver, BC V6E 4T3, Canada","{'location': {'lat': 49.2869813, 'lng': -123.1195788}, 'viewport': {'northeast': {'lat': 49.28845552989272, 'lng': -123.1181436201073}, 'southwest': {'lat': 49.28575587010728, 'lng': -123.1208432798927}}}",,49.2869813,-123.1195788
Leith Wheeler,"400 Burrard St #1500, Vancouver, BC V6C 3A6, Canada","{'location': {'lat': 49.2866059, 'lng': -123.1170683}, 'viewport': {'northeast': {'lat': 49.28807057989272, 'lng': -123.1159033201073}, 'southwest': {'lat': 49.28537092010728, 'lng': -123.1186029798927}}}",,49.2866059,-123.1170683
Pound & Grain,"510 Beatty St #100, Vancouver, BC V6B 2L3, Canada","{'location': {'lat': 49.2809603, 'lng': -123.1087017}, 'viewport': {'northeast': {'lat': 49.28244372989272, 'lng': -123.1071472701072}, 'southwest': {'lat': 49.27974407010728, 'lng': -123.1098469298927}}}",,49.2809603,-123.1087017
Mountain Law Corporation,"By appointment only during COVID times please, 200-1410 Alpha Lake Rd, Whistler, BC V8E 0J3, Canada","{'location': {'lat': 50.0901222, 'lng': -123.0304644}, 'viewport': {'northeast': {'lat': 50.09151097989272, 'lng': -123.0292948701073}, 'southwest': {'lat': 50.08881132010727, 'lng': -123.0319945298927}}}",,50.0901222,-123.0304644
Amica Senior Lifestyles- Vancouver Office,"1111 Melville St Suite 930, Vancouver, BC V6E 3V6, Canada","{'location': {'lat': 49.286993, 'lng': -123.1220944}, 'viewport': {'northeast': {'lat': 49.28822667989272, 'lng': -123.1209394701073}, 'southwest': {'lat': 49.28552702010728, 'lng': -123.1236391298928}}}",,49.286993,-123.1220944
Amica Arbutus Manor,"2125 Eddington Dr, Vancouver, BC V6L 3A9, Canada","{'location': {'lat': 49.2474524, 'lng': -123.1558339}, 'viewport': {'northeast': {'lat': 49.24868257989272, 'lng': -123.1545129201073}, 'southwest': {'lat': 49.24598292010728, 'lng': -123.1572125798927}}}",,49.2474524,-123.1558339
Coastlines Creative Group Inc,"1438 Richards St Ste. 2205, Vancouver, BC V6Z 3B8, Canada","{'location': {'lat': 49.2732654, 'lng': -123.1275965}, 'viewport': {'northeast': {'lat': 49.27471232989272, 'lng': -123.1263969701073}, 'southwest': {'lat': 49.27201267010728, 'lng': -123.1290966298927}}}",,49.2732654,-123.1275965
Hammerco Lawyers LLP,"Suite 1220 Airport Square, 1200 W 73rd Ave, Vancouver, BC V6P 6G5, Canada","{'location': {'lat': 49.2041247, 'lng': -123.1332583}, 'viewport': {'northeast': {'lat': 49.20556122989272, 'lng': -123.1319105201073}, 'southwest': {'lat': 49.20286157010727, 'lng': -123.1346101798927}}}",,49.2041247,-123.1332583
Kowarsky Ritson LLP,"808 Nelson St #1008, Vancouver, BC V6Z 2H2, Canada","{'location': {'lat': 49.2798452, 'lng': -123.1246517}, 'viewport': {'northeast': {'lat': 49.28131367989273, 'lng': -123.1231238701072}, 'southwest': {'lat': 49.27861402010728, 'lng': -123.1258235298927}}}",,49.2798452,-123.1246517
Morguard (Vancouver Regional Office),"969 Robson St #320, Vancouver, BC V6Z 2V7, Canada","{'location': {'lat': 49.2833626, 'lng': -123.1220812}, 'viewport': {'northeast': {'lat': 49.28457872989272, 'lng': -123.1209370701073}, 'southwest': {'lat': 49.28187907010728, 'lng': -123.1236367298928}}}",,49.2833626,-123.1220812
McGregor Dale M,"1200 W 73rd Ave, Vancouver, BC V6P 6G5, Canada","{'location': {'lat': 49.2040516, 'lng': -123.1330719}, 'viewport': {'northeast': {'lat': 49.20552467989272, 'lng': -123.1318173201072}, 'southwest': {'lat': 49.20282502010728, 'lng': -123.1345169798927}}}",,49.2040516,-123.1330719
Gustavson Wylie Architects Inc,"1040 W Georgia St #280, Vancouver, BC V6E 4H1, Canada","{'location': {'lat': 49.2849807, 'lng': -123.1225996}, 'viewport': {'northeast': {'lat': 49.28623642989272, 'lng': -123.1214241201073}, 'southwest': {'lat': 49.28353677010728, 'lng': -123.1241237798927}}}",,49.2849807,-123.1225996
QA Law,"700 W Georgia St, Vancouver, BC V7Y 1K8, Canada","{'location': {'lat': 49.28284319999999, 'lng': -123.1190605}, 'viewport': {'northeast': {'lat': 49.28421787989272, 'lng': -123.1175652701073}, 'southwest': {'lat': 49.28151822010727, 'lng': -123.1202649298927}}}",,49.28284319999999,-123.1190605
McCuaig & Associates Engineering Ltd,"33 E 8th Ave, Vancouver, BC V5T 1R5, Canada","{'location': {'lat': 49.2639523, 'lng': -123.1038598}, 'viewport': {'northeast': {'lat': 49.26530087989271, 'lng': -123.1023748701073}, 'southwest': {'lat': 49.26260122010727, 'lng': -123.1050745298927}}}",,49.2639523,-123.1038598
Murrick Insurance Services,"1045 Howe St, Vancouver, BC V6Z 2A9, Canada","{'location': {'lat': 49.2793966, 'lng': -123.1250455}, 'viewport': {'northeast': {'lat': 49.28070642989272, 'lng': -123.1236333201072}, 'southwest': {'lat': 49.27800677010727, 'lng': -123.1263329798927}}}",,49.2793966,-123.1250455
Options Solutions Educational Consultants,"1549 Marine Dr #303, West Vancouver, BC V7V 1H9, Canada","{'location': {'lat': 49.3287595, 'lng': -123.1578539}, 'viewport': {'northeast': {'lat': 49.32998967989272, 'lng': -123.1565460701072}, 'southwest': {'lat': 49.32729002010728, 'lng': -123.1592457298927}}}",,49.3287595,-123.1578539
Options Solutions Educational Consultants,"3195 Granville St #203, Vancouver, BC V6H 1S5, Canada","{'location': {'lat': 49.2572976, 'lng': -123.1393918}, 'viewport': {'northeast': {'lat': 49.25853377989272, 'lng': -123.1378711701073}, 'southwest': {'lat': 49.25583412010727, 'lng': -123.1405708298927}}}",,49.2572976,-123.1393918
Hayward Ian B,"666 Burrard St, Vancouver, BC V6C 2X8, Canada","{'location': {'lat': 49.2850757, 'lng': -123.1191988}, 'viewport': {'northeast': {'lat': 49.28635102989273, 'lng': -123.1175455201073}, 'southwest': {'lat': 49.28365137010729, 'lng': -123.1202451798927}}}",,49.2850757,-123.1191988
Robin D. Bajer,"207 W Hastings St, Vancouver, BC V6B 1H7, Canada","{'location': {'lat': 49.28283140000001, 'lng': -123.1097389}, 'viewport': {'northeast': {'lat': 49.28411737989272, 'lng': -123.1084328201073}, 'southwest': {'lat': 49.28141772010728, 'lng': -123.1111324798927}}}",,49.28283140000001,-123.1097389
Shape Properties Corporation,"505 Burrard St #2020, Vancouver, BC V7X 1M6, Canada","{'location': {'lat': 49.2865686, 'lng': -123.1182414}, 'viewport': {'northeast': {'lat': 49.28800967989272, 'lng': -123.1167911201073}, 'southwest': {'lat': 49.28531002010727, 'lng': -123.1194907798927}}}",,49.2865686,-123.1182414
Lex Pacifica Law Corporation,"555 Burrard St #1155, Vancouver, BC V7X 1M8, Canada","{'location': {'lat': 49.2862676, 'lng': -123.1189293}, 'viewport': {'northeast': {'lat': 49.28751562989272, 'lng': -123.1174210201073}, 'southwest': {'lat': 49.28481597010727, 'lng': -123.1201206798927}}}",,49.2862676,-123.1189293
Cibc World Markets Inc,"20 Townsite Rd, Nanaimo, BC V9S 5T7, Canada","{'location': {'lat': 49.17875129999999, 'lng': -123.9425614}, 'viewport': {'northeast': {'lat': 49.17973932989272, 'lng': -123.9414663701072}, 'southwest': {'lat': 49.17703967010728, 'lng': -123.9441660298927}}}",,49.17875129999999,-123.9425614
Kestrel Workplace Legal Counsel LLP,"2695 Granville St, Vancouver, BC V6H 3H4, Canada","{'location': {'lat': 49.2619011, 'lng': -123.139001}, 'viewport': {'northeast': {'lat': 49.26316082989272, 'lng': -123.1375636701073}, 'southwest': {'lat': 49.26046117010728, 'lng': -123.1402633298927}}}",,49.2619011,-123.139001
Dentons,"250 Howe St 20th Floor, Vancouver, BC V6C 3R8, Canada","{'location': {'lat': 49.2866872, 'lng': -123.1134189}, 'viewport': {'northeast': {'lat': 49.28803887989272, 'lng': -123.1122312201072}, 'southwest': {'lat': 49.28533922010727, 'lng': -123.1149308798927}}}",,49.2866872,-123.1134189
DLA Piper (Canada) LLP,"666 Burrard St, Vancouver, BC V6C 2Z7, Canada","{'location': {'lat': 49.2850659, 'lng': -123.1191307}, 'viewport': {'northeast': {'lat': 49.28634612989273, 'lng': -123.1175114701073}, 'southwest': {'lat': 49.28364647010728, 'lng': -123.1202111298927}}}",,49.2850659,-123.1191307
Lesperance Mendes Lawyers,"900 Howe St #550, Vancouver, BC V6Z 2M4, Canada","{'location': {'lat': 49.280689, 'lng': -123.122379}, 'viewport': {'northeast': {'lat': 49.28211557989272, 'lng': -123.1211415701073}, 'southwest': {'lat': 49.27941592010728, 'lng': -123.1238412298927}}}",,49.280689,-123.122379
DuMoulin Black LLP,"595 Howe St 10th floor, Vancouver, BC V6C 2T5, Canada","{'location': {'lat': 49.284532, 'lng': -123.117506}, 'viewport': {'northeast': {'lat': 49.28580197989272, 'lng': -123.1161752701073}, 'southwest': {'lat': 49.28310232010728, 'lng': -123.1188749298927}}}",,49.284532,-123.117506
Response Advertising,"409 Granville St Suite 1157, Vancouver, BC V6C 1T2, Canada","{'location': {'lat': 49.28534579999999, 'lng': -123.1145372}, 'viewport': {'northeast': {'lat': 49.28671152989273, 'lng': -123.1129429201073}, 'southwest': {'lat': 49.28401187010729, 'lng': -123.1156425798928}}}",,49.28534579999999,-123.1145372
Praxis Legal,"3159 Cambie St, Vancouver, BC V5Z 4N2, Canada","{'location': {'lat': 49.2575666, 'lng': -123.1153777}, 'viewport': {'northeast': {'lat': 49.25897497989272, 'lng': -123.1139288201073}, 'southwest': {'lat': 49.25627532010728, 'lng': -123.1166284798927}}}",,49.2575666,-123.1153777
Crowe MacKay LLP,"1177 W Hastings St, Vancouver, BC V6E 4T5, Canada","{'location': {'lat': 49.2886049, 'lng': -123.1216285}, 'viewport': {'northeast': {'lat': 49.28990092989272, 'lng': -123.1203158201073}, 'southwest': {'lat': 49.28720127010727, 'lng': -123.1230154798927}}}",,49.2886049,-123.1216285
DLA Piper (Canada) LLP,"666 Burrard St, Vancouver, BC V6C 2Z7, Canada","{'location': {'lat': 49.2850659, 'lng': -123.1191307}, 'viewport': {'northeast': {'lat': 49.28634612989273, 'lng': -123.1175114701073}, 'southwest': {'lat': 49.28364647010728, 'lng': -123.1202111298927}}}",,49.2850659,-123.1191307
DIALOG,"611 Alexander St Suite 400, Vancouver, BC V6A 1E1, Canada","{'location': {'lat': 49.2843319, 'lng': -123.0906563}, 'viewport': {'northeast': {'lat': 49.28548277989272, 'lng': -123.0893140201073}, 'southwest': {'lat': 49.28278312010728, 'lng': -123.0920136798927}}}",,49.2843319,-123.0906563
WEX Pharmaceuticals Inc.,"1100 Melville St Suite 1150, Vancouver, BC V6E 4A6, Canada","{'location': {'lat': 49.28668820000001, 'lng': -123.1230105}, 'viewport': {'northeast': {'lat': 49.28806532989272, 'lng': -123.1214133201073}, 'southwest': {'lat': 49.28536567010728, 'lng': -123.1241129798927}}}",,49.28668820000001,-123.1230105
Element Lifestyle Retirement,"1147 Homer St, Vancouver, BC V6B 2G2, Canada","{'location': {'lat': 49.2757397, 'lng': -123.1228737}, 'viewport': {'northeast': {'lat': 49.27708952989271, 'lng': -123.1215238701073}, 'southwest': {'lat': 49.27438987010726, 'lng': -123.1242235298927}}}",,49.2757397,-123.1228737
"Pacific Ag Management, Inc.","29341 Kimberlina Rd, Wasco, CA 93280, United States","{'location': {'lat': 35.5571441, 'lng': -119.3236236}, 'viewport': {'northeast': {'lat': 35.55892942989272, 'lng': -119.3222749201073}, 'southwest': {'lat': 35.55622977010728, 'lng': -119.3249745798927}}}",,35.5571441,-119.3236236
